,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
8391,35165,8.7,8.5,9.1,8.0,-1.0,8.4,8.5,8.6,48,9.09
8392,35168,9.0,7.7,8.7,9.0,-1.0,8.9,8.2,8.85,143,5.24
8393,35169,8.1,-1.0,8.4,6.9,-1.0,8.2,10.0,7.45,12,2.38
8394,35170,8.3,8.0,8.0,8.3,-1.0,8.4,7.6,8.3,30,3.22
8395,35171,8.0,7.8,7.8,8.5,-1.0,8.0,7.1,8.1,31,3.63
8396,35172,7.0,9.3,8.1,9.1,5.8,7.0,5.8,7.7,-1,-1.0
8397,35173,9.0,8.0,8.6,9.0,-1.0,8.8,8.0,8.5,84,3.75
8398,35174,8.7,-1.0,8.2,8.5,-1.0,8.5,-1.0,8.35,41,3.5
8399,35175,8.8,8.3,8.6,9.1,-1.0,8.9,7.8,8.55,265,3.64
8400,35176,8.7,8.3,7.8,8.9,8.1,8.6,7.2,8.55,123,3.58
8401,35177,9.3,8.0,8.8,9.2,-1.0,9.1,-1.0,8.9,5,7.58
8402,35178,6.8,8.0,8.0,6.9,6.5,6.7,6.2,6.85,2,2.0
8403,35179,8.6,8.3,8.7,8.5,-1.0,8.4,-1.0,8.4,31,8.95
8404,35180,9.2,8.8,9.2,9.2,-1.0,8.9,-1.0,8.75,26,4.46
